ID,Item Name,Item Type,Current Stock,Is Fixed Price,Barcode,Unit Price Per Tab,Expiry Date,Batch Number,Purchase Price,Sale Price,Fixed Sale Price,Markup Percentage
028241ef-406a-4131-a4c0-d7aa75a5468c,N/A,Pharmacy,4.0,False,,37.0,2026-05-01,,24.9,37.0,0.0,0.0
46846419-3938-4234-b9a0-e865578a834c,N/A,Pharmacy,20.0,False,,25.0,2027-01-27,,13.5,20.0,0.0,0.0
dd994ec9-a700-4855-87c9-109adf96395c,N/A,Pharmacy,14.0,False,,28.0,2026-10-09,,20.0,28.0,0.0,0.0
116d06e5-3acf-4f42-a01a-04f0fc38af60,N/A,Pharmacy,30.0,False,,45.0,2027-04-01,,1.35,4.0,0.0,0.0
530120f2-60c5-404d-9c84-c6adaf422e5e,N/A,Pharmacy,8.0,False,,15.0,2028-02-02,,7.0,15.0,0.0,0.0
49bde01d-7cb4-4aba-a277-5cc8e7b8d325,N/A,Pharmacy,4.4,False,,10.0,2027-09-01,,5.38,100.0,0.0,0.0
56d4d965-b472-4fbb-a64c-c646208fe5d5,N/A,Pharmacy,324.0,False,,2.5,2028-02-02,,32.0,75.0,0.0,0.0
4a48cc66-7f9d-448a-8304-a6cd8e391bee,N/A,Pharmacy,6.0,False,,45.0,2027-02-21,,27.0,45.0,0.0,0.0
77c412ed-a4a2-4c11-95df-1ba67c1938a8,N/A,Pharmacy,6.0,False,,35.0,2026-03-01,,24.0,35.0,0.0,0.0
2c7c4d44-dec2-443a-a92a-f51aa50d2bc6,N/A,Pharmacy,69.0,False,,5.0,2026-11-10,,5.1,10.0,0.0,0.0
11ff05a4-5b25-476d-83ab-0fc8d27787ea,N/A,Pharmacy,10.0,False,,25.0,2027-10-09,,20.0,25.0,0.0,0.0
2458d918-f512-4c77-bd2e-1896a7d0a4fe,N/A,Pharmacy,24.0,False,,6.0,2027-09-09,,4.2,6.0,0.0,0.0
e341532c-2e02-4601-a7e9-b8a7a2370a6d,N/A,Pharmacy,12.0,False,,15.0,2025-10-01,,6.5,15.0,0.0,0.0
9629eea8-b031-4f7b-89b5-0654664ba985,N/A,Pharmacy,24.0,False,,10.0,,,4.91,100.0,0.0,0.0
cb71482a-5c77-4d7a-9222-c6258dfab129,N/A,Pharmacy,21.0,False,,10.0,2027-05-03,,6.3,10.0,0.0,0.0
cb8e3dc6-7f1b-43f7-952a-419e26b58a9d,N/A,Pharmacy,13.0,False,,15.0,2027-01-01,,10.0,15.0,0.0,0.0
604fd812-96ed-4462-9818-84d55aa84bff,N/A,Pharmacy,1.0,False,,25.0,2027-04-03,,16.0,25.0,0.0,0.0
ec094481-fdb7-410d-9a45-3f0b4f3674e9,N/A,Pharmacy,4.0,False,,15.0,2025-11-01,,10.2,15.0,0.0,0.0
889eea15-8f6b-4f71-99a3-51e5f0ebb97a,N/A,Pharmacy,4.0,False,,15.0,2025-11-01,,10.2,15.0,0.0,0.0
90a021f6-14ac-4541-bc80-611284e62f4d,N/A,Pharmacy,4.0,False,,13.0,2028-01-01,,8.3,13.0,0.0,0.0
a8254a19-a14d-4e9d-b265-63598a8a4cc8,N/A,Pharmacy,0.0,False,,140.0,2027-04-01,,110.0,140.0,0.0,0.0
257f3f54-67b8-47fc-b8da-75bec95dcbbd,N/A,Pharmacy,22.0,True,,30.0,2026-01-01,None,22.0,30.0,30.0,0.0
f555a3ff-50a2-4856-a993-9802f4c28750,N/A,Pharmacy,432.0,False,,10.0,2027-03-01,,5.39,100.0,0.0,0.0
4989bd59-27ec-4305-a624-fed863bf9585,N/A,Pharmacy,4.0,False,,20.0,2027-10-01,,15.89,20.0,0.0,0.0
24a8499c-e17e-44e1-b3ec-30e9cc4cfbf9,N/A,Pharmacy,2.0,False,,20.0,2026-06-01,,180.0,20.0,0.0,0.0
39314171-c0f6-4679-a44a-af1ae90ab2d1,N/A,Pharmacy,10.0,False,,15.0,2027-07-01,,8.9,15.0,0.0,0.0
ae56f742-1b23-4082-a026-d73fd8ec32bd,N/A,Pharmacy,2.0,False,,140.0,2026-12-01,,110.0,140.0,0.0,0.0
ecd09d21-8d26-4436-a2dd-28df12d75ed4,N/A,Pharmacy,6.0,False,,13.0,2026-03-01,,8.1,13.0,0.0,0.0
207675b8-2c81-4dd1-8237-b1fc0659fba3,N/A,Pharmacy,18.0,False,,15.0,2027-05-01,,8.1,15.0,0.0,0.0
d46f1145-6474-47f0-91c4-ee5c4b014445,N/A,Pharmacy,8.0,False,,8.0,2027-07-07,,1.92,80.0,0.0,0.0
4041b103-15c5-4754-8d0f-ea24aa229e4d,N/A,Pharmacy,20.0,False,,38.0,2027-02-02,,30.0,38.0,0.0,0.0
6383e634-8080-4dd5-a7e7-f23e7c748a4a,N/A,Pharmacy,16.0,False,,13.0,2027-01-01,,5.5,13.0,0.0,0.0
cac11da2-9367-4516-87db-7fe5b55888f4,N/A,Pharmacy,0.0,False,,3.0,2025-09-01,,6.0,9.0,0.0,0.0
786ce314-3fc5-4241-8f7b-18ae187f49e6,N/A,Pharmacy,8.0,False,,13.0,2027-04-01,,5.5,13.0,0.0,0.0
3c448f94-d8bb-4562-bfb6-b7d090c2e354,N/A,Pharmacy,0.0,False,,7.0,2025-07-01,,4.1,21.0,0.0,0.0
a379ed05-8ef0-4045-8e95-5ecb203ddf30,N/A,Pharmacy,100.0,False,,7.0,2026-06-01,,3.98,7.0,0.0,0.0
921527b4-9f0a-4e3b-871f-fb2adcae6691,N/A,Pharmacy,78.0,False,,8.0,2026-11-02,,5.59,200.0,0.0,0.0
aba1ac00-2bba-4438-bbe5-b3b61796a416,N/A,Pharmacy,54.0,False,,10.0,2027-08-01,,6.42,10.0,0.0,0.0
0082e9d8-ce78-48e2-a96d-e77ccaeb6ec3,N/A,Pharmacy,1.0,False,,15.0,2026-09-01,,9.5,150.0,0.0,0.0
3dfba886-725e-4f66-abbf-a98f388ac2a7,N/A,Pharmacy,7.0,False,,3.0,2027-01-01,,11.9,30.0,0.0,0.0
331b5e94-c7eb-4425-9071-1d175bf7c881,N/A,Pharmacy,304.0,False,,7.0,2027-12-01,,3.61,15.0,0.0,0.0
9463a1a7-2262-47b9-9938-39fb62a68bd3,N/A,Pharmacy,18.0,False,,37.0,2027-03-02,,16.0,37.0,0.0,0.0
d8639aca-f874-4d0a-a8f6-39e2b72675c7,N/A,Pharmacy,14.0,False,,25.0,2027-05-02,,18.08,25.0,0.0,0.0
838ca064-7891-401e-8226-d97bb7528d59,N/A,Pharmacy,36.0,False,,10.0,2027-04-01,,6.2,10.0,0.0,0.0
8b2dcfe6-c7b3-4e17-8130-28645b6fcc09,N/A,Pharmacy,476.5,False,,10.0,2027-07-01,,5.49,200.0,0.0,0.0
f0d61533-1998-4be1-83fc-d076cac82868,N/A,Pharmacy,5.0,False,,20.0,2026-03-01,,11.8,20.0,0.0,0.0
2d256e6c-abac-4dd4-84dc-8b6335ffb9d5,N/A,Pharmacy,1.0,False,,3.0,2027-02-01,,11.9,30.0,0.0,0.0
ee5c396a-d290-42f9-b394-622ce65a2f55,N/A,Pharmacy,23.0,False,,10.0,2028-05-01,,4.56,10.0,0.0,0.0
12efb142-06b1-4ed2-92a1-ee1b3aece024,N/A,Pharmacy,26.0,False,,10.0,2027-07-01,,5.99,100.0,0.0,0.0
d4cc5255-ce91-4462-9fbb-f344caec9936,N/A,Pharmacy,32.0,False,,5.0,2027-10-01,,3.6,100.0,0.0,0.0
ef26a2e1-a828-45f0-a56c-25bbe5c1a6e5,N/A,Pharmacy,180.0,False,,3.0,2027-02-01,,1.51,3.0,0.0,0.0
